N,ECD name ,Sector ,Support,date of support ,Children supported ,Support given 
1,ECD NGENDA ,NYARUGENGE ,"ECD Rehabilitation, ECD Equipments, Nutritive Package",3/1/2021,120,"class room construction,,play ground,40 kids plastic chair,10 kids wood chair,20 kids plastic chair,2 caregivers tables,4care givers wood chair,500 copiesof kids and caregivers books,26 kids toys,160kgs of porridge,2 saucepans,2 plastic water tank,2 basket ,5 jugs"
2,ECD KABAHAYA ,RILIMA ,"ECD Equipments, Nutritive Package, Caregivers Incentives",8/3/2023,83,"nutritive package,incentives,kids chairs,"
3,ECD MURAMBI,NYARUGENGE ,ECD Equipments,4/30/2025,107,Class furnitures
4,ECD GIHINGA ,SHYARA ,"ECD Rehabilitation, ECD Equipments, Nutritive Package",4/28/2021,120,"classroom construction,playground,40 kids plastic chair,40 kids wood chair,20 kids plastic chair,2caregivers tables,4caregivers wood chair,500 copies of kids and caregivers books,26 of kids toys,281kgs of porridgde,2 saucepans,2 plastic water tanks,2 baskets,5jugs"
5,ECD KARERA,RILIMA,"ECD Construction, ECD Equipments, Caregivers Training",1/31/2023,302,"3classroom construction,plastic chairs and tables,kids toys,teachers training,equipments of students,play ground"
6,ECD KALILISI CATHOLIC,RILIMA,"ECD Construction, ECD Equipments",3/23/2021,80,"2classroom construction,play ground ,26kids toys,40kids plastic chair,2care givers table ,20kids plastic ,20 kids tables,500 copiesof kids and care giversbooks, 4caregivers wood chair"
7,ECD KALILISI DES AMIS ,RILIMA ,"ECD Construction, ECD Equipments",24/7/2021,120,"3classroom construction,kids playgraund,plastic chair,kitchen constrution,teachers chair and table,toilet construction"
8,HOMEBASED ECD MUSENYI,MUSENYI,"Nutritive Package, ECD Equipments, ECD Construction",8/3/2023,130,"nutritive package,mats"
